"countrycode","E_stock0","E_renewable_stock0"
"ABW",3.3287167199999996,431.34997205999997
"AFG",243.38269439999996,30531.20134608
"AGO",31839.507401899995,155655.56403203998
"ALB",2283.50167682,25718.86033398
"ARE",3103.4397895399998,22883.60398358
"ARG",72458.3797944,268888.87771298
"ARM",1056.7832076999998,10018.058894279999
"AUS",377593.49675797997,1.01475672869884e6
"AUT",26925.061826359997,74789.3748321
"AZE",2397.79375386,29288.4391788
"BDI",1135.2147960999998,35303.04964824
"BEL",9272.22480736,30944.18699122
"BEN",4204.576815459999,87879.50489624
"BFA",5402.33633328,95635.64320898
"BGD",3424.4483240799996,454647.21070138
"BGR",7718.3323784799995,48501.66782804
"BHR",0.37882375999999995,735.0684944
"BHS",3313.63635828,16010.73939402
"BIH",2956.0611206199997,24619.706018099998
"BLR",6722.606666799999,39484.04710984
"BLZ",1962.11113568,4390.664529279999
"BOL",17177.02886616,34720.62345804
"BRA",508351.00716166,1.8531501250643998e6
"BRB",946.4378729399999,14824.31891196
"BRN",473.36339989999993,1070.48786626
"BTN",10306.35318222,187860.95895436
"BWA",7086.5122931,12645.020797899999
"CAF",2387.0955630999997,19121.48778226
"CAN",310638.73592899996,796287.25499828
"CHE",19564.102306359997,70891.52272195999
"CHL",27730.899823459997,166174.47176077997
"CHN",1.18291022512622e6,1.3359584645968638e7
"CIV",12681.25472598,237176.323438
"CMR",15620.663624399998,201906.28962313998
"COD",76772.09802928,386159.25230868
"COG",14365.827704199999,37762.39139952
"COL",55480.61661298,176524.42179331998
"COM",38.8244769,2908.3930456999997
"CPV",481.47143476,3981.8684575599996
"CRI",8407.2280992,65061.80032988
"CUB",9878.31409038,64625.190161059996
"CYP",3.3287167199999996,431.34997205999997
"CZE",9735.8169975,59239.559446679996
"DEU",72007.42937098,240528.84015054
"DJI",9.972646119999999,635.8702051
"DNK",5838.597303379999,26971.8579272
"DOM",9878.31409038,64625.190161059996
"DZA",833.06953296,92989.3853999
"ECU",14405.554315079999,73337.10841265999
"EGY",49.064578399999995,741191.4646497199
"ERI",5.4689162399999995,16176.013445479999
"ESP",129896.11978743998,293434.85366454
"EST",3922.5448592199996,16093.78681388
"ETH",21434.3006265,390630.97878136
"FIN",41687.64077316,91694.66556545999
"FJI",946.4378729399999,14824.31891196
"FRA",101114.96149179999,317166.57063934
"GAB",10787.03811522,27084.515381839996
"GBR",21542.49473272,90215.65262384
"GEO",5613.67793952,14945.834511119998
"GHA",11526.107515639998,251240.26094711997
"GIN",4749.07400942,74146.2602303
"GMB",477.60886195999996,2720.28012162
"GNB",922.18688156,11258.236019259999
"GNQ",4204.576815459999,87879.50489624
"GRC",20986.26135018,68998.73515748
"GTM",7044.512970899999,76793.74352019999
"GUY",3782.53716928,16165.545984299999
"HKG",473.36339989999993,1070.48786626
"HND",7656.67366128,37123.96904366
"HRV",9475.40880784,27994.298954939997
"HTI",1930.5335211000001,18377.3246243
"HUN",11319.361055219999,66005.56716838
"IDN",101246.93684883999,1.49914180888614e6
"IND",125530.66108744,6.01921670295386e6
"IRL",5195.38674826,18265.60500954
"IRN",60247.40643298,468801.95300949994
"IRQ",2261.3271727,58885.926303939996
"ISL",106.16029214,10593.02865574
"ISR",6153.151857139999,48173.92123062
"ITA",71959.44403384,263569.78137265996
"JAM",3313.63635828,16010.73939402
"JOR",871.40106916,14997.366836739999
"JPN",119839.34592626,482300.07974022
"KAZ",3584.36865254,39210.917606899995
"KEN",6682.8082653,189054.48050285998
"KGZ",965.0634634599999,18577.819750079998
"KHM",12531.196404699998,123812.32941358
"KOR",36290.6489678,146206.91731371998
"KWT",0.0,3699.50725504
"LAO",7243.623435319999,148731.19364272
"LBN",1881.38538516,29330.9079041
"LBR",9119.429009619998,28060.64011012
"LBY",49.064578399999995,741191.4646497199
"LCA",94.83193666,1187.67636812
"LKA",6266.372127379999,77038.36731728
"LSO",115.57869075999999,3900.4823871199997
"LTU",6527.05099756,30860.99034354
"LUX",972.9726526,1686.0588239999997
"LVA",6380.530637,27577.1447059
"MAC",0.0,0.0
"MAR",16946.066640859997,202909.34794864
"MDA",788.49439738,5921.84132988
"MDG",6446.301709439999,74616.26987
"MDV",0.0,315.10389352
"MEX",115942.20279608,544152.34654418
"MKD",926.8266369599999,11635.45080288
"MLI",12441.234765019999,120162.52729524
"MLT",3.3287167199999996,431.34997205999997
"MMR",60526.81077808,650742.6879068
"MNE",1591.6935729,3229.9440927799997
"MNG",4338.458925839999,10807.779827159999
"MOZ",5571.530849319999,138173.92869697997
"MRT",199.23253187999998,7256.68141242
"MUS",481.47143476,3981.8684575599996
"MWI",2736.6888292999997,127846.07557531998
"MYS",35145.03244847999,404661.56001729995
"NAM",4172.6982185199995,17264.46203556
"NER",833.06953296,92989.3853999
"NGA",27561.13107928,1.09623407573042e6
"NIC",6082.004541179999,27899.89048264
"NLD",5484.20154898,49679.59015268
"NOR",41492.59615184,111819.1090177
"NPL",10306.35318222,187860.95895436
"NZL",81641.88069861999,361447.29570672
"OMN",5.4689162399999995,16176.013445479999
"PAK",5355.800343599999,734583.7063980199
"PAN",6795.122886899999,23019.514206
"PER",50607.909444779994,150763.16434229998
"PHL",17795.56723094,456389.98904266
"PNG",15283.042994379999,149159.89441466
"POL",23048.433364279997,195479.64404877997
"PRT",24174.87862308,56419.19807966
"PRY",10604.12277638,86911.0435189
"PSE",871.40106916,14997.366836739999
"PYF",946.4378729399999,14824.31891196
"QAT",0.0,2992.6109977399997
"ROU",10932.767012699998,160095.01222354
"RUS",290933.8163013,639690.1422805199
"RWA",889.26021846,51609.53188174
"SAU",3303.7085651999996,82977.25595981999
"SDN",22025.856063799998,203003.39901978
"SEN",15071.3270557,79130.95936886
"SGP",473.36339989999993,1070.48786626
"SLB",946.4378729399999,14824.31891196
"SLE",3829.2725527,27805.683616839997
"SLV",2255.5256102,17706.38411336
"SRB",3470.52103006,50659.284974639995
"STP",38.596869999999996,788.9668789799999
"SUR",1497.44295574,18623.19188816
"SVK",6112.28139692,28474.13635668
"SVN",4965.7183258,21628.942219999997
"SWE",83558.37299604,188486.56496106
"SWZ",840.17829048,8510.678090279998
"SYR",2261.3271727,58885.926303939996
"TCD",4890.67125158,44677.149361059994
"TGO",2134.8192354199996,30372.59100162
"THA",60526.81077808,650742.6879068
"TJK",243.38269439999996,30531.20134608
"TKM",3584.36865254,39210.917606899995
"TLS",946.4378729399999,14824.31891196
"TON",946.4378729399999,14824.31891196
"TUN",2004.5738440399998,81487.66694283999
"TUR",55256.789918279996,587114.60705658
"TWN",36290.6489678,146206.91731371998
"TZA",22995.240209059997,262939.42559202
"UGA",3315.36279518,124816.92419257999
"UKR",7581.89230438,125468.50463459999
"URY",8067.78908242,48038.8098625
"USA",909893.7682199399,1.40836138556288e6
"UZB",3584.36865254,39210.917606899995
"VCT",946.4378729399999,14824.31891196
"VNM",30746.35908912,1.1138685618832998e6
"VUT",946.4378729399999,14824.31891196
"WSM",946.4378729399999,14824.31891196
"YEM",3303.7085651999996,82977.25595981999
"ZAF",42713.58731846,272244.23747901997
"ZMB",30381.85370522,129499.45066229998
"ZWE",13205.76681306,56237.19641329999
