"countrycode","coef","se","pval"
"ABW",-0.0711793523310054,0.0136628463567955,5.24783974395966e-7
"AFG",0.00321499656935842,0.0107133056653705,0.764459759272152
"AGO",-0.000604219026088347,0.00380055851374783,0.873865623545604
"ALB",-0.0646024726419045,0.00859341768229897,2.72762998383107e-12
"ARE",-0.131827161851258,0.0897657719296892,0.143734951192689
"ARG",-0.0163435907521479,0.00471299972539133,0.000659668063338795
"ARM",0.00797029283112293,0.00964794293233179,0.409858358309627
"AUS",0.00923532898761232,0.0117402111613016,0.432550094087103
"AUT",-0.0177647431380135,0.00978451486668314,0.0711341043408151
"AZE",-0.0134588390547775,0.0104127566480646,0.197866706461154
"BDI",0.0126278359967589,0.00925563846637018,0.174202647392573
"BEL",-0.0777035796332302,0.0144798268170675,2.50767657503753e-7
"BEN",-0.0871229840379769,0.0120805847031156,1.57295442463461e-11
"BFA",-0.0867830339016866,0.00894639724007968,4.31062774848929e-18
"BGD",-0.00218407659162548,0.00696062923452362,0.754062952944477
"BGR",-0.105333224374803,0.0134778035989053,4.79520789499639e-13
"BHR",-0.0394866699442563,0.0702055064903859,0.574529183439093
"BHS",-0.0990820732644479,0.0102069125385451,4.12171243267346e-18
"BIH",-0.0733814937197188,0.0113538240874889,9.73332386643983e-10
"BLR",0.00285471316792354,0.0127293395274824,0.822813204960848
"BLZ",-0.0592896952533689,0.0144628795417907,6.3156872936788e-5
"BOL",-0.0152172149527318,0.00739675267042507,0.0411340409171403
"BRA",-0.00607293052598793,0.00675867418633292,0.37012602039745
"BRB",-0.0711793523310054,0.0136628463567955,5.24783974395966e-7
"BRN",-0.00385138531663109,0.00438966172562148,0.381478332701408
"BTN",-0.0217569660926929,0.00745488113986709,0.00397681860810109
"BWA",0.0340103975152233,0.0183067491037041,0.0648669624033884
"CAF",-0.00464609285976505,0.0033784466788868,0.170812553937566
"CAN",-0.0370734451505068,0.00409245650364638,2.48442952566532e-16
"CHE",-0.0295946840380865,0.00927474236936634,0.00167976668956964
"CHL",0.00364565143052172,0.00575766640175351,0.527436608240163
"CHN",0.0100079064894202,0.0028878527434134,0.000664853645811143
"CIV",-0.0367728474755372,0.00710669958839331,6.18586675511219e-7
"CMR",-0.00199211793331761,0.00415299699238964,0.63204907374554
"COD",-0.000604219026088347,0.00380055851374783,0.873865623545604
"COG",-0.00913784160453833,0.00369092743623767,0.0142410274981808
"COL",-0.00163898036517399,0.00259826239996307,0.52899046675795
"COM",-0.030289293804559,0.00418479685371006,1.35629615055569e-11
"CPV",-0.030289293804559,0.00418479685371006,1.35629615055569e-11
"CRI",-0.029763207864184,0.00989569956822715,0.00301813246401832
"CUB",-0.0711793523310054,0.0136628463567955,5.24783974395966e-7
"CYP",0.0290231829672513,0.00731588876578359,0.000105735716764264
"CZE",-0.0319155695492727,0.0116475976976802,0.0067751875774662
"DEU",-0.078953298123063,0.0108257412125421,9.90858358861765e-12
"DJI",-0.111675816228027,0.0398991400487415,0.0056989170414412
"DNK",-0.0174539590059438,0.0217047501109622,0.422392955353276
"DOM",-0.0711793523310054,0.0136628463567955,5.24783974395966e-7
"DZA",0.0448321692697798,0.024147012195004,0.0650346052649101
