"countrycode","e0"
"AGO",33871.816385
"ALB",2429.257103
"ARE",3301.531691
"ARG",77083.38276
"ARM",1124.237455
"AUS",401695.209317
"AUT",28643.682794
"AZE",2550.844419
"BDI",1207.675315
"BEL",9864.068944
"BEN",4472.954059
"BFA",5747.166312
"BGD",3643.030132
"BGR",8210.991892
"BHR",0.403004
"BIH",3144.745873
"BLR",7151.70922
"BLZ",2087.352272
"BOL",18273.434964
"BRA",540798.943789
"BWA",7538.842865
"CAF",2539.463365
"CAN",330466.74035
"CHE",20812.874794
"CHL",29500.957259
"CHN",1.258415133113e6
"CIV",13490.696517
"CMR",16617.72726
"COD",81672.444712
"COG",15282.79543
"COL",59021.932567
"COM",41.302635
"CRI",8943.85968
"CZE",10357.252125
"DEU",76603.648267
"DJI",10.609198
"DNK",6211.273727
"DOM",10508.844777
"ECU",15325.057782
"EGY",52.19636
"ESP",138187.361476
"EST",4172.920063
"ETH",22802.447475
"FIN",44348.554014
"FRA",107569.10797
"GAB",11475.572463
"GBR",22917.547588
"GEO",5971.997808
"GHA",12261.816506
"GIN",5052.206393
"GMB",508.094534
"GNB",981.049874
"GRC",22325.809947
"GTM",7494.162735
"GUY",4023.975712
"HND",8145.397512
"HRV",10080.222136
"HTI",2053.759065
"HUN",12041.873463
"IDN",107709.507286
"IND",133543.256476
"IRL",5527.007179
"IRN",64092.985567
"IRQ",2405.667205
"ISL",112.936481
"ISR",6545.906231
"ITA",76552.600036
"JAM",3525.145062
"JOR",927.022414
"JPN",127488.665879
"KAZ",3813.158141
"KEN",7109.370495
"KGZ",1026.663259
"KHM",13331.060005
"KOR",38607.07337
"KWT",0.0
"LAO",7705.982378
"LBN",2001.473814
"LBR",9701.520223
"LCA",100.885039
"LKA",6666.353327
"LSO",122.956054
"LTU",6943.671274
"LUX",1035.07729
"LVA",6787.79855
"MAR",18027.730469
"MDA",838.823827
"MDG",6857.767776
"MDV",0.0
"MEX",123342.768932
"MKD",985.985784
"MLI",13235.356133
"MLT",3.541188
"MNE",1693.291035
"MNG",4615.381836
"MOZ",5927.160478
"MRT",211.949502
"MUS",512.203654
"MWI",2911.371095
"MYS",37388.332392
"NAM",4439.040658
"NER",886.244184
"NGA",29320.352212
"NIC",6470.217597
"NLD",5834.256967
"NOR",44141.059736
"NPL",10964.205513
"NZL",86853.064573
"OMN",5.817996
"PAK",5697.65994
"PAN",7228.854135
"PER",53838.201537
"PHL",18931.454501
"PNG",16258.556377
"POL",24519.609962
"PRT",25717.955982
"PRY",11280.981677
"QAT",0.0
"ROU",11630.603205
"RUS",309504.059895
"RWA",946.021509
"SAU",3514.58358
"SDN",23431.76177
"SEN",16033.326655
"SGP",503.578085
"SLB",1006.848801
"SLE",4073.694205
"SLV",2399.49533
"SRB",3692.043649
"STP",41.0605
"SUR",1593.024421
"SVK",6502.427018
"SVN",5282.67907
"SWE",88891.886166
"SWZ",893.806692
"TCD",5202.841757
"TGO",2271.084293
"THA",64390.224232
"TJK",258.91776
"TTO",727.634149
"TUN",2132.525366
"TUR",58783.819062
"TZA",24463.021499
"UGA",3526.981697
"UKR",8065.842877
"URY",8582.754343
"USA",967972.093851
"VNM",32708.892648
"ZAF",45439.986509
"ZMB",32321.120963
"ZWE",14048.688099
"ABW",43140.994950701985
"AFG",43140.994950701985
"ALA",43140.994950701985
"AND",43140.994950701985
"BHS",43140.994950701985
"BRB",43140.994950701985
"BRN",43140.994950701985
"BTN",43140.994950701985
"COK",43140.994950701985
"CPV",43140.994950701985
"CUB",43140.994950701985
"CYM",43140.994950701985
"CYN",43140.994950701985
"CYP",43140.994950701985
"DZA",43140.994950701985
"ERI",43140.994950701985
"ESH",43140.994950701985
"FJI",43140.994950701985
"FLK",43140.994950701985
"Gaza",43140.994950701985
"GNQ",43140.994950701985
"GRL",43140.994950701985
"GUF",43140.994950701985
"HKG",43140.994950701985
"JEY",43140.994950701985
"KAS",43140.994950701985
"KOS",43140.994950701985
"LBY",43140.994950701985
"LIE",43140.994950701985
"MAC",43140.994950701985
"MCO",43140.994950701985
"MMR",43140.994950701985
"NCL",43140.994950701985
"PRI",43140.994950701985
"PRK",43140.994950701985
"PSE",43140.994950701985
"PYF",43140.994950701985
"SMR",43140.994950701985
"SOL",43140.994950701985
"SOM",43140.994950701985
"SSD",43140.994950701985
"SYR",43140.994950701985
"TCA",43140.994950701985
"TKM",43140.994950701985
"TLS",43140.994950701985
"TON",43140.994950701985
"TWN",43140.994950701985
"UZB",43140.994950701985
"VAT",43140.994950701985
"VCT",43140.994950701985
"VEN",43140.994950701985
"VIR",43140.994950701985
"VUT",43140.994950701985
"WSM",43140.994950701985
"YEM",43140.994950701985
