year,countrycode,intensity
2020,ABW,2.1120776054457516e-7
2021,ABW,2.061302200996517e-7
2022,ABW,2.0120149129684954e-7
2023,ABW,1.9641671764234038e-7
2024,ABW,1.9177121542860504e-7
2025,ABW,1.872604671497535e-7
2026,ABW,1.828801151829657e-7
2027,ABW,1.7862595572473674e-7
2028,ABW,1.74493932971113e-7
2029,ABW,1.704801335315865e-7
2030,ABW,1.6658078106677224e-7
2031,ABW,1.6279223114043048e-7
2032,ABW,1.591109662768121e-7
2033,ABW,1.5553359121470344e-7
2034,ABW,1.5205682834992562e-7
2035,ABW,1.486775133584053e-7
2036,ABW,1.453925909922796e-7
2037,ABW,1.421991110418271e-7
2038,ABW,1.3909422445633112e-7
2039,ABW,1.3607517961728274e-7
2040,ABW,1.3313931875761623e-7
2041,ABW,1.3028407452094425e-7
2042,ABW,1.2750696665502097e-7
2043,ABW,1.2480559883391067e-7
2044,ABW,1.2217765560357783e-7
2045,ABW,1.196208994458418e-7
2046,ABW,1.1713316795585669e-7
2047,ABW,1.1471237112848478e-7
2048,ABW,1.1235648874912935e-7
2049,ABW,1.1006356788478305e-7
2050,ABW,1.078317204712283e-7
2051,ABW,1.0565912099249912e-7
2052,ABW,1.035440042488793e-7
2053,ABW,1.0148466320986947e-7
2054,ABW,9.947944694870668e-8
2055,ABW,9.75267586551641e-8
2056,ABW,9.562505372349658e-8
2057,ABW,9.377283791252951e-8
2058,ABW,9.196866557501439e-8
2059,ABW,9.021113795349508e-8
2060,ABW,8.84989015400441e-8
2061,ABW,8.683064649733783e-8
2062,ABW,8.520510513864611e-8
2063,ABW,8.362105046441109e-8
2064,ABW,8.207729475318766e-8
2065,ABW,8.05726882048097e-8
2066,ABW,7.910611763373447e-8
2067,ABW,7.767650521060194e-8
2068,ABW,7.628280725012719e-8
2069,ABW,7.492401304352022e-8
2070,ABW,7.35991437337029e-8
2071,ABW,7.230725123166224e-8
2072,ABW,7.10474171723482e-8
2073,ABW,6.981875190858806e-8
2074,ABW,6.862039354155239e-8
2075,ABW,6.745150698636654e-8
2076,ABW,6.631128307151883e-8
2077,ABW,6.519893767077129e-8
2078,ABW,6.411371086633042e-8
2079,ABW,6.305486614208633e-8
2080,ABW,6.202168960577605e-8
2081,ABW,6.101348923897242e-8
2082,ABW,6.002959417384475e-8
2083,ABW,5.906935399567895e-8
2084,ABW,5.813213807018531e-8
2085,ABW,5.7217334894661004e-8
2086,ABW,5.632435147211135e-8
2087,ABW,5.545261270746914e-8
2088,ABW,5.4601560825085986e-8
2089,ABW,5.377065480670176e-8
2090,ABW,5.2959369849129565e-8
2091,ABW,5.216719684092414e-8
2092,ABW,5.139364185732964e-8
2093,ABW,5.063822567283088e-8
2094,ABW,4.9900483290658544e-8
2095,ABW,4.91799634886237e-8
2096,ABW,4.84762283806821e-8
2097,ABW,4.778885299365141e-8
2098,ABW,4.7117424858527185e-8
2099,ABW,4.646154361586499e-8
2100,ABW,4.5820820634716264e-8
2101,ABW,4.519487864462591e-8
2102,ABW,4.4583351380217915e-8
2103,ABW,4.398588323791406e-8
2104,ABW,4.3402128944347744e-8
2105,ABW,4.2831753236052326e-8
2106,ABW,4.227443055001885e-8
2107,ABW,4.1729844724733864e-8
2108,ABW,4.119768871132292e-8
2109,ABW,4.0677664294439254e-8
2110,ABW,4.016948182255115e-8
2111,ABW,3.967285994729452e-8
2112,ABW,3.918752537156968e-8
2113,ABW,3.8713212606073804e-8
2114,ABW,3.8249663733971774e-8
2115,ABW,3.779662818341951e-8
2116,ABW,3.73538625076647e-8
