"","coef","se","pval","country","formula","capital","dgvm","iso3"
"I(temp^2)",-0.0102233880509274,0.021135180711368,0.629877934194344,"AE","sq","mN","lpj","ARE"
"I(temp^2)1",-0.0103803851220832,0.0200546735677144,0.606127978138037,"AE","sq","nN","lpj","ARE"
"I(temp^2)2",-0.377024099076526,0.243669171617609,0.136734759073271,"AE","sq","mN","orc","ARE"
"I(temp^2)3",-0.320023860597363,0.229947254846765,0.178572035985878,"AE","sq","nN","orc","ARE"
"I(temp^2)4",0.00546546257550683,0.0052353045633632,0.301425929086286,"AE","sq","mN","car","ARE"
"I(temp^2)5",5.20367359826901e-05,0.0100374331508415,0.995883797790968,"AE","sq","nN","car","ARE"
"I(temp^2)6",-0.0382190154900755,0.0233893934913776,0.104039636956588,"AE","sq","mN","all","ARE"
"I(temp^2)7",-0.0283376515109195,0.0210116803352183,0.179178425445368,"AE","sq","nN","all","ARE"
"log(temp + 1)",-0.133698816237374,0.272264573854055,0.62469423279419,"AE","log","mN","lpj","ARE"
"log(temp + 1)1",-0.128806157911818,0.259031990987227,0.620336688201331,"AE","log","nN","lpj","ARE"
"log(temp + 1)2",-0.853393172519715,1.31364144588479,0.522968322322341,"AE","log","mN","orc","ARE"
"log(temp + 1)3",-1.16339088067799,1.26957171552475,0.369879650781163,"AE","log","nN","orc","ARE"
"log(temp + 1)4",0.0989531061154955,0.0317062897034841,0.00296626536719407,"AE","log","mN","car","ARE"
"log(temp + 1)5",0.0521132494605272,0.0652095284029444,0.427900407105872,"AE","log","nN","car","ARE"
"log(temp + 1)6",-0.284204798744709,0.250441833307979,0.257996578849082,"AE","log","mN","all","ARE"
"log(temp + 1)7",-0.296714201754146,0.232386424727213,0.203350001855775,"AE","log","nN","all","ARE"
"temp",-0.0563121853810967,0.0980133062904485,0.567177949509994,"AE","lin","mN","lpj","ARE"
"temp1",-0.054938586891367,0.0931205946446401,0.556831386872783,"AE","lin","nN","lpj","ARE"
